"day_in_future","RMSE_null","RMSE_forecast","RMSE_null_nonbloom","RMSE_forecast_nonbloom","R2_null","R2_forecast","R2_null_nonbloom","R2_forecast_nonbloom","RMSE_null_bloom","RMSE_forecast_bloom","R2_null_bloom","R2_forecasT_bloom"
1,1.79508108005576,1.882883642637,1.24980105970323,1.2322468510782,0.936340086310277,0.929224562032216,0.878495763520242,0.871858789108158,4.87724938325786,5.35258459979734,NA,NA
2,2.56118356940439,2.79554705363426,1.72326687477561,1.67988354469168,0.872071117277533,0.845772529861009,0.788745242394485,0.776522102368257,7.1433089136049,8.34632380479763,NA,NA
3,3.20251086692121,3.5683908623454,2.24858166418014,2.12283651987799,0.803506670318435,0.751639495683161,0.685018021328512,0.675375126374077,8.64086952366924,10.7068090547678,NA,NA
4,3.86789319339802,4.33009277899839,2.60019858093637,2.40668797440313,0.720605072086474,0.640770832466382,0.612532419319836,0.606470860723296,10.7859649050486,13.3773024116881,NA,NA
5,4.37399317590518,4.91649233949411,2.92492623983468,2.61682865639371,0.650710395059703,0.545641921992673,0.550664591423794,0.555413201131132,12.2432566945266,15.4389386892987,NA,NA
6,4.92946744479504,5.49187266011962,3.30931639962979,2.8797749982588,0.569035771529337,0.446324556930447,0.480966557650292,0.498925252798369,13.7597378445477,17.335606163929,NA,NA
7,5.40182167169495,5.98854018073797,3.66371275873754,3.15793845842653,0.49691791856132,0.35884800809024,0.420589681593395,0.440834819571307,14.9663652401573,18.8668394572873,NA,NA
8,5.842963411727,6.42842044755546,3.99284567476487,3.45607228994103,0.428723959436709,0.281870777623581,0.380345171578328,0.397723702990072,16.0974009621719,20.1139286828853,NA,NA
9,6.33039689413589,6.86425232664015,4.42241892128177,3.80278688527124,0.353622972517128,0.209079482312558,0.358746291105876,0.369850760849628,17.1384937054219,21.2338035381511,NA,NA
10,6.74224538141186,7.20335280343209,4.88955508975114,4.19484545343882,0.291724601195971,0.156115241914839,0.342960213613168,0.344183881574393,17.6605709740633,21.8141401333561,NA,NA
11,7.09513914156768,7.4680500107979,5.29268439700698,4.42782256356242,0.240663832620058,0.118079947524844,0.318686827453115,0.322611153525111,18.0666086072334,22.4258110437668,NA,NA
12,7.36067578518636,7.64080751509844,5.57337232548564,4.5335162126735,0.204083451330876,0.0950148360543678,0.299425742442002,0.309074340442021,18.4388335350741,22.9366092562075,NA,NA
13,7.5748934243276,7.76725619281058,5.75739060802529,4.57919285107025,0.17591840601747,0.0789779698109084,0.278204011213392,0.290529149447711,18.8935972509667,23.3875734946944,NA,NA
14,7.7684056829682,7.86745770418249,5.91742667819462,4.59555170909755,0.151696215191272,0.0674147398159544,0.260800514286281,0.279165278077161,19.3273405329066,23.79198861991,NA,NA
