"forecast_date","forecast_mean_chl","forecast_median_chl","forecast_sd_chl","forecast_CI95_upper","forecast_CI95_lower","forecast_max","forecast_min","forecast_variance","obs_chl_EXO","forecast_run_day","day_in_future","par1","par2","par3","par4","par5"
2019-05-23,2.42203014118853,2.41970288162329,0.132886573438842,2.68795061733333,2.16663496618529,2.77833932667038,1.9520294102138,0.00101779918873404,3.12104166666667,2019-05-22,1,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-24,2.19938956375752,2.19901674477478,0.221499346421715,2.65036340102571,1.78076863738866,2.81307109860906,1.45154128426929,0.00312853437860687,3.73202797202797,2019-05-22,2,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-25,1.90950421369121,1.90113852692598,0.301280276929808,2.53610747767232,1.35237084873675,2.76134217995986,0.947444316539305,0.0067177561876738,3.40083333333333,2019-05-22,3,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-26,1.7284346107185,1.71584698210213,0.358080379007809,2.48729847559704,1.07892709911701,2.76206084744274,0.646440359931993,0.0105747860466369,2.92839160839161,2019-05-22,4,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-27,1.53303387031192,1.51159035646659,0.403687424027275,2.40697412674511,0.817630844094386,2.72254549045102,0.391541645871861,0.0153305888475445,2.81715277777778,2019-05-22,5,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-28,1.40996852789528,1.38088908467645,0.438046714298493,2.37630415326748,0.649157078450237,2.72278311339773,0.246506280906029,0.0198742379634321,2.73125,2019-05-22,6,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-29,1.3562782099722,1.32503235504149,0.466989156413687,2.40184312007724,0.556455209282592,2.76991300006445,0.175608960074481,0.0237633026055366,2.73069444444444,2019-05-22,7,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-30,1.23466040507937,1.1945244761443,0.486984955910809,2.34755517002405,0.420267423461816,2.73494820477114,0.092149800380432,0.0288651952870738,2.66713286713287,2019-05-22,8,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-05-31,1.26516702222252,1.23613711800422,0.512384491430678,2.44589392653612,0.410191424421267,2.84115267672021,0.0861339232675372,0.0315002308284161,2.61451388888889,2019-05-22,9,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-06-01,1.38917832380919,1.37210336152548,0.543255006359403,2.64145462903114,0.472023123936674,3.03254197213765,0.119309527610599,0.0324062926623487,2.65090277777778,2019-05-22,10,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-06-02,1.35426292863915,1.33605160963997,0.556111803731982,2.65052721425954,0.422666043236952,3.05508719389424,0.0904937857001211,0.0352634265859379,2.88056338028169,2019-05-22,11,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-06-03,1.31645275018838,1.29531441298491,0.565959056482366,2.65047564123614,0.375932702797162,3.06678639717058,0.0674055190458074,0.0380518210027475,2.64153846153846,2019-05-22,12,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-06-04,1.23955716276207,1.21463517682267,0.568995307310902,2.60033867351004,0.307835064449479,3.02954546704181,0.0427990604104559,0.0414901498800483,3.14097902097902,2019-05-22,13,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
2019-06-05,1.49315211297906,1.49698033304505,0.609762825284817,2.93366879390829,0.459796571790856,3.33365914857195,0.108793524162872,0.0393725815669672,3.5056338028169,2019-05-22,14,0.306262127385347,0.877625394052803,-0.132085472056278,-0.000717278547081857,0.172673087569191
