"day_in_future","RMSE_null","RMSE_forecast","RMSE_null_nonbloom","RMSE_forecast_nonbloom","R2_null","R2_forecast","R2_null_nonbloom","R2_forecast_nonbloom","RMSE_null_bloom","RMSE_forecast_bloom","R2_null_bloom","R2_forecasT_bloom"
1,2.76741382559724,3.94069545798089,1.72050189346774,2.12849659613589,0.847941401343723,0.899667086124021,0.759283651940764,0.83952230584914,7.42798793306914,11.2587758045272,NA,NA
2,3.42634437926631,4.67861116721136,2.12466088356334,2.50507098519429,0.771758441087006,0.816382553623237,0.663299105310087,0.745779548028357,8.97287906351335,13.0576196719167,NA,NA
3,4.04717452846832,5.44243189820476,2.53278801506339,2.97383332635109,0.689943922915769,0.72377404418901,0.564182836090309,0.639111271207729,10.282183484223,14.6936450110682,NA,NA
4,4.57061820352404,6.2240188193693,2.93417845573255,3.49630096163135,0.614582255213398,0.624189245093752,0.500293772878109,0.559318057483699,11.3562603537709,16.4943675519852,NA,NA
5,5.10012701432353,6.97825177407783,3.36634758769491,4.00601210880508,0.534373053445505,0.526987899566924,0.451859087395483,0.506610486321849,12.5548674899007,18.4775559476785,NA,NA
6,5.5842611861075,7.73619929651435,3.75763766902712,4.60570912796323,0.459337899480153,0.431238044209973,0.397155681528591,0.437836076746085,13.3643886921596,19.8403732552802,NA,NA
7,6.03089555687149,8.48614886927773,4.1659064209117,5.36241456308264,0.389949381417824,0.342295990888517,0.373406862913389,0.383087653550386,14.2730739655746,21.2766531734,NA,NA
8,6.48548591028899,9.2091779084534,4.59386754669653,6.35610090080105,0.318906598645192,0.26277309680595,0.342894730968129,0.329106777876137,14.7210993008539,21.32799686217,NA,NA
9,6.83597190099573,9.90780389793774,4.98750903950927,7.52093396580793,0.266488175049561,0.194198314154231,0.317802961735081,0.285965610264682,14.9191601534675,20.8059036571899,NA,NA
10,7.13943880125122,10.5194648532439,5.31910087341898,8.85150868138726,0.223390648438502,0.142874010423178,0.299176081500466,0.251111450085478,14.9798978381862,18.9138867838541,NA,NA
11,7.36183122233221,11.0674095864653,5.57136737796081,9.85496319257916,0.191940045761779,0.105083127298821,0.300913877352183,0.233322636480499,15.0184586473367,17.6126444669174,NA,NA
12,7.56699545848332,11.5251868007701,5.74486401393575,10.5360746464011,0.16585766106706,0.0802952856493152,0.290576806731553,0.221039937197317,15.3867965305127,17.1553428527284,NA,NA
13,7.72604074403329,11.940335194421,5.86106015823285,11.0314771326896,0.144662097068525,0.0632661723530193,0.276205394095857,0.208713252447177,15.533600396519,17.0938032185745,NA,NA
14,7.88477391191879,12.3337574684684,5.94517475700217,11.4209605439089,0.12724360425458,0.0518152784481135,0.283502380734128,0.202115731563637,15.938624566373,17.5276046379832,NA,NA
