"day_in_future","RMSE_null","RMSE_forecast","RMSE_null_nonbloom","RMSE_forecast_nonbloom","R2_null","R2_forecast","R2_null_nonbloom","R2_forecast_nonbloom","RMSE_null_bloom","RMSE_forecast_bloom","R2_null_bloom","R2_forecasT_bloom"
1,7.5808624523615,1.88874822020556,5.50967395881914,1.24730324757563,0.142086340472146,0.928785236957312,0.281421932836671,0.869024394785606,19.831806807517,5.33702482884949,NA,NA
2,7.700765040147,2.78505163033445,5.58923836158181,1.67501700870321,0.126855406231656,0.847033101164183,0.276325469153842,0.777423753391691,20.1715233800627,8.31139583638537,NA,NA
3,7.82883746294191,3.56465519096344,5.66288476653219,2.10982929141249,0.112730841407718,0.752501235413712,0.27298910277831,0.678607954199979,20.5730495277845,10.721986376919,NA,NA
4,7.91556093995654,4.33465660885755,5.72208475401796,2.38512947881494,0.102639032695325,0.640523022021275,0.267739162405853,0.610591426036066,20.7966363088054,13.4446232780648,NA,NA
5,7.99968458617833,4.9325897432638,5.76876170380751,2.60718744238444,0.0921321614086809,0.543650765685163,0.259450534214094,0.557175895481949,21.0656268584908,15.5274681149063,NA,NA
6,8.1046243895835,5.52593142807319,5.84582397700324,2.87946857921175,0.0818383533776083,0.441752969936194,0.241104557874862,0.498887835599924,21.3372661216594,17.480268936726,NA,NA
7,8.1980947243797,6.03418369525464,5.93745666648521,3.19143983836912,0.0736957332645036,0.353475214999514,0.221820713495749,0.436947328704658,21.5010063792513,18.9910807072088,NA,NA
8,8.28289966653417,6.49339846529597,6.01903220690968,3.5009099878461,0.065464300726597,0.27470573583903,0.199782336562582,0.391686215876535,21.6543821472283,20.2961582850074,NA,NA
9,8.3947895271278,6.93048265373408,6.14087305640995,3.88130971006797,0.0566568252021379,0.203221245985865,0.179766043490632,0.362887153795066,21.8066971143141,21.3453483408438,NA,NA
10,8.52229731644008,7.28718387095369,6.26747397008353,4.27785527626986,0.0463885660590552,0.148920124116806,0.155428063578422,0.336421022741233,22.0212641088916,21.9862393846187,NA,NA
11,8.66921294581063,7.56573652734337,6.41530058687604,4.55049505387414,0.03527669988625,0.110347751780202,0.12911158099897,0.313936284738729,22.2600234937309,22.5593793446375,NA,NA
12,8.755326881513,7.7468879221864,6.50840322869651,4.66891177475515,0.028413267471909,0.0873249707475376,0.107221367575842,0.294919527736107,22.3759785200791,23.0759020321673,NA,NA
13,8.86730039655014,7.87545268296222,6.63050263117023,4.72039628848609,0.0214759680533402,0.0726321963707145,0.0855031984684898,0.278432289950577,22.5215463301759,23.5236318063805,NA,NA
14,8.97368930769874,7.96945537237455,6.7341176229116,4.7278729466998,0.0151219395935685,0.0619964357542834,0.0672407535925846,0.269017241721795,22.7038431020756,23.9247261776392,NA,NA
