"mean","upper_CI","lower_CI","date","forecast_run_day","day_in_future","timestep","chla_ugL","chla_sqrt","residual"
5.70548269503669,8.31952707417772,3.58296217618988,2020-08-19,2020-08-18,1,1,5.78195804195804,2.40457024059561,0.0764753469213542
5.70362624986546,8.85853612669768,3.2404459754908,2020-08-20,2020-08-18,2,2,6.43580418881119,2.53688868277881,0.732177938945732
5.77019695128852,9.74989702836558,2.82833129691802,2020-08-21,2020-08-18,3,3,7.62468083687943,2.76128246234959,1.85448388559091
5.79019694320823,10.0039228703446,2.72140369430348,2020-08-22,2020-08-18,4,4,8.08895836111111,2.8441094144057,2.29876141790288
5.64995900590538,10.5130348282572,2.28477566393469,2020-08-23,2020-08-18,5,5,6.55930555555556,2.5611141238835,0.909346549650181
5.63952611299001,10.9004605059296,2.09656714734031,2020-08-24,2020-08-18,6,6,7.46829785106383,2.73281866413852,1.82877173807382
5.85936141262541,12.0785862188234,1.86540286845365,2020-08-25,2020-08-18,7,7,8.12562497916667,2.85054818923776,2.26626356654126
5.7511729374504,12.1810425173189,1.70612087018005,2020-08-26,2020-08-18,8,8,8.7551049020979,2.95890265167645,3.0039319646475
5.79703359522857,12.6859478330535,1.57169377805196,2020-08-27,2020-08-18,9,9,9.41545453146853,3.06846126445626,3.61842093623996
5.61421979578,12.5442907540101,1.43299322758959,2020-08-28,2020-08-18,10,10,9.95209788811189,3.15469457921237,4.33787809233189
5.87751897980851,13.9025393755855,1.25464211101647,2020-08-29,2020-08-18,11,11,9.75625000694444,3.12349964093874,3.87873102713593
5.90779236332674,13.4109079453818,1.43783955092587,2020-08-30,2020-08-18,12,12,NA,NA,NA
5.81374176038447,14.6781755033096,0.982338084897043,2020-08-31,2020-08-18,13,13,NA,NA,NA
5.82672977114996,14.4599334414145,1.05083429485278,2020-09-01,2020-08-18,14,14,NA,NA,NA
