"forecast_date","forecast_mean_chl","forecast_median_chl","forecast_sd_chl","forecast_CI95_upper","forecast_CI95_lower","forecast_max","forecast_min","forecast_variance","obs_chl_EXO","forecast_run_day","day_in_future","par1","par2","par3","par4","par5"
2020-04-13,22.3344421173205,22.2810891517375,0.0298023471831309,27.083999794492,18.042418746461,29.140786107457,15.0364078427888,0.145111758667819,22.6824305555556,2020-04-12,1,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-14,21.6216122373601,21.570367929939,0.031843396517188,26.1817052011171,17.4975135036496,28.1555068132593,14.60661620661,0.146396191668016,17.7085314615385,2020-04-12,2,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-15,21.1095011550779,21.0600732481302,0.0339010217502688,25.5053916884935,17.1290788521569,27.406743760997,14.3352350144245,0.14762542142405,22.0671328671329,2020-04-12,3,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-16,20.3767970780413,20.3293912899748,0.0359717584703531,24.5915532029172,16.5579495195053,26.4138637621622,13.8756660605911,0.148801562661006,21.8640559440559,2020-04-12,4,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-17,19.6900539576856,19.6445638296557,0.0380523693072208,23.7331567859595,16.0242208732734,25.4805337481717,13.4475081218436,0.149926675060332,16.4351748251748,2020-04-12,5,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-18,19.0018356742684,18.9582120637736,0.0401398317203434,22.8778906661842,15.485289093472,24.5524520798294,13.0118653678232,0.151002761758503,16.1738194444444,2020-04-12,6,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-19,18.3482411052383,18.306395367338,0.0422313263979942,22.0651780066058,14.9738874609927,23.6703784381399,12.598839497506,0.15203176829265,18.680780141844,2020-04-12,7,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-20,18.0769989851026,18.0364528172112,0.0443242262379367,21.6757250037443,14.8047278822018,23.228383092845,12.4975773084009,0.153015581937524,16.3344755244755,2020-04-12,8,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-21,17.8464409184668,17.8071135151799,0.0464160858814693,21.3341830313471,14.669784679738,22.8374463951751,12.4260496199451,0.153956031383946,18.842027979021,2020-04-12,9,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-22,17.3287874566181,17.2909576319297,0.0485046317739478,20.6823009075267,14.2717143912894,22.1269479753549,12.1104303106782,0.154854886714143,14.9861267676056,2020-04-12,10,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-23,17.2398160242162,17.2029819168474,0.0505877527262001,20.5019487463307,14.2601676882616,21.9055547025162,12.1491984623293,0.155713859634099,18.9685915492958,2020-04-12,11,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-24,16.6092161896941,16.5739232191656,0.0526634909524624,19.7341128167359,13.7535049783576,21.0782665144416,11.7292780161059,0.156534603927276,19.1816546690647,2020-04-12,12,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-25,16.2633086811029,16.2292168951315,0.0547300335616402,19.2800741367273,13.503055767688,20.5767586777649,11.5439724796477,0.157318716097947,14.0507638888889,2020-04-12,13,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
2020-04-26,15.9437220898633,15.910770838845,0.0567857044798011,18.8577941976427,13.2740862719863,20.1093851674851,11.3768112617379,0.158067736175807,13.195034993007,2020-04-12,14,0.0823064697732458,0.97617692881218,-0.345580991878049,-0.000156771804193235,0.141841442536689
