"mean","upper_CI","lower_CI","date","forecast_run_day","day_in_future","timestep"
19.3582199221584,628.662127294519,-589.945687450202,"2018-08-15",2018-08-15,0,0
20.1371436565389,625.568052961432,-585.293765648354,"2018-08-16",2018-08-16,0,0
1.39540908426269,657.969377236272,-655.178559067746,"2018-08-17",2018-08-17,0,0
6.0048369070531,12.3527246890828,-0.343050874976595,"2018-08-18",2018-08-18,0,0
7.54312215011049,13.9350996286763,1.15114467154472,"2018-08-19",2018-08-19,0,0
7.926992478966,10.5714157286111,5.2825692293209,"2018-08-20",2018-08-20,0,0
NA,NA,NA,"2018-08-21",2018-08-21,0,0
NA,NA,NA,"2018-08-22",2018-08-22,0,0
NA,NA,NA,"2018-08-23",2018-08-23,0,0
NA,NA,NA,"2018-08-24",2018-08-24,0,0
NA,NA,NA,"2018-08-25",2018-08-25,0,0
NA,NA,NA,"2018-08-26",2018-08-26,0,0
12.0560374449719,15.207354452996,8.90472043694768,"2018-08-27",2018-08-27,0,0
12.643432437267,15.2716364550455,10.0152284194884,"2018-08-28",2018-08-28,0,0
10.5826329192374,13.7059015683439,7.45936427013087,"2018-08-29",2018-08-29,0,0
9.10462861092923,11.7911902899087,6.41806693194976,"2018-08-30",2018-08-30,0,0
8.64598624328703,11.0104939846294,6.28147850194465,"2018-08-31",2018-08-31,0,0
7.9050601272118,8.71332892123622,7.09679133318738,"2018-09-01",2018-09-01,0,0
7.2384687482253,8.23330532423673,6.24363217221387,"2018-09-02",2018-09-02,0,0
5.37633205413747,5.60830375654844,5.1443603517265,"2018-09-03",2018-09-03,0,0
3.89350510175128,3.94786070225998,3.83914950124258,"2018-09-04",2018-09-04,0,0
3.72584482972479,3.74623725300669,3.70545240644289,"2018-09-05",2018-09-05,0,0
3.13014369495988,3.1696322684971,3.09065512142266,"2018-09-06",2018-09-06,0,0
3.25672439656606,3.27416965718748,3.23927913594463,"2018-09-07",2018-09-07,0,0
3.57666454916785,3.58909644486069,3.56423265347501,"2018-09-08",2018-09-08,0,0
5.31325513765573,5.32470570110628,5.30180457420519,"2018-09-09",2018-09-09,0,0
8.7779829639998,8.78709331095037,8.76887261704923,"2018-09-10",2018-09-10,0,0
9.08475365805184,9.09247870636114,9.07702860974254,"2018-09-11",2018-09-11,0,0
7.83584142116364,7.84396917924769,7.8277136630796,"2018-09-12",2018-09-12,0,0
7.6229304451089,7.62761322875203,7.61824766146577,"2018-09-13",2018-09-13,0,0
8.24119408900227,8.24611921534448,8.23626896266006,"2018-09-14",2018-09-14,0,0
8.19725052952745,8.20122615314629,8.19327490590862,"2018-09-15",2018-09-15,0,0
8.69284716926754,8.69633008189869,8.68936425663639,"2018-09-16",2018-09-16,0,0
9.573513195455,9.57583429760995,9.57119209330006,"2018-09-17",2018-09-17,0,0
10.160935951711,10.1633491232774,10.1585227801446,"2018-09-18",2018-09-18,0,0
9.39700542631894,9.39976471884206,9.39424613379582,"2018-09-19",2018-09-19,0,0
8.72061731302835,8.72342515719847,8.71780946885822,"2018-09-20",2018-09-20,0,0
8.56989849171578,8.57248559090236,8.56731139252919,"2018-09-21",2018-09-21,0,0
5.02135451275344,5.02401354011191,5.01869548539497,"2018-09-22",2018-09-22,0,0
6.46353507713389,6.46651422818201,6.46055592608577,"2018-09-23",2018-09-23,0,0
5.40349799554227,5.40655727649424,5.40043871459031,"2018-09-24",2018-09-24,0,0
3.15890747739784,3.1619197820294,3.15589517276629,"2018-09-25",2018-09-25,0,0
NA,NA,NA,"2018-09-26",2018-09-26,0,0
NA,NA,NA,"2018-09-27",2018-09-27,0,0
NA,NA,NA,"2018-09-28",2018-09-28,0,0
NA,NA,NA,"2018-09-29",2018-09-29,0,0
NA,NA,NA,"2018-09-30",2018-09-30,0,0
5.40140469831579,5.40430429243931,5.39850510419228,"2018-10-01",2018-10-01,0,0
5.42425380093801,5.42727493324732,5.42123266862871,"2018-10-02",2018-10-02,0,0
4.72999704415771,4.73275202123074,4.72724206708469,"2018-10-03",2018-10-03,0,0
3.96252842183117,3.96561043805153,3.9594464056108,"2018-10-04",2018-10-04,0,0
4.97344657433971,4.97617606690855,4.97071708177086,"2018-10-05",2018-10-05,0,0
6.65350836131107,6.6562503270127,6.65076639560944,"2018-10-06",2018-10-06,0,0
5.68509574945408,5.68771619783167,5.68247530107648,"2018-10-07",2018-10-07,0,0
4.71745268731303,4.7199201661714,4.71498520845466,"2018-10-08",2018-10-08,0,0
5.06333268000103,5.06579110889904,5.06087425110302,"2018-10-09",2018-10-09,0,0
5.99607280390514,5.99860168926512,5.99354391854515,"2018-10-10",2018-10-10,0,0
5.0954233595954,5.09766586146011,5.09318085773068,"2018-10-11",2018-10-11,0,0
3.6128304582649,3.61500137629757,3.61065954023223,"2018-10-12",2018-10-12,0,0
3.46299333429339,3.46505027145565,3.46093639713114,"2018-10-13",2018-10-13,0,0
3.60231496030361,3.60432940797809,3.60030051262913,"2018-10-14",2018-10-14,0,0
2.69055256302295,2.69237271647734,2.68873240956856,"2018-10-15",2018-10-15,0,0
3.36024071075774,3.36211529885736,3.35836612265812,"2018-10-16",2018-10-16,0,0
3.09966620665875,3.10155800423377,3.09777440908373,"2018-10-17",2018-10-17,0,0
4.2838007409465,4.28562655513706,4.28197492675595,"2018-10-18",2018-10-18,0,0
4.23703797761501,4.23870953625303,4.23536641897698,"2018-10-19",2018-10-19,0,0
5.6283080492113,5.63008334483635,5.62653275358625,"2018-10-20",2018-10-20,0,0
4.65346230234708,4.65512527553179,4.65179932916237,"2018-10-21",2018-10-21,0,0
5.76432032730844,5.76610014644304,5.76254050817383,"2018-10-22",2018-10-22,0,0
7.4469448964286,7.44871611418341,7.44517367867379,"2018-10-23",2018-10-23,0,0
6.11328709704613,6.11496751753523,6.11160667655703,"2018-10-24",2018-10-24,0,0
5.35398140800014,5.35554720682837,5.35241560917191,"2018-10-25",2018-10-25,0,0
4.8470303718363,4.84861301893061,4.84544772474199,"2018-10-26",2018-10-26,0,0
3.5472691728153,3.54859367227085,3.54594467335974,"2018-10-28",2018-10-28,0,0
4.31601093834291,4.31754910441626,4.31447277226955,"2018-10-29",2018-10-29,0,0
4.69751783048679,4.69906930170454,4.69596635926904,"2018-10-30",2018-10-30,0,0
3.75563450483127,3.75709279874701,3.75417621091553,"2018-10-31",2018-10-31,0,0
3.58783601141019,3.58937923818507,3.58629278463532,"2018-11-01",2018-11-01,0,0
4.82308644801523,4.82454151512792,4.82163138090254,"2018-11-02",2018-11-02,0,0
5.75699521719613,5.7585244616927,5.75546597269956,"2018-11-03",2018-11-03,0,0
4.04176353218302,4.04320263874012,4.04032442562592,"2018-11-05",2018-11-05,0,0
6.3498432958326,6.35133167713933,6.34835491452587,"2018-11-06",2018-11-06,0,0
4.46609262900867,4.46754606750283,4.46463919051451,"2018-11-07",2018-11-07,0,0
3.32254124670627,3.32402811864537,3.32105437476716,"2018-11-08",2018-11-08,0,0
3.26470586464502,3.26610114573554,3.26331058355451,"2018-11-09",2018-11-09,0,0
3.44383042215088,3.44528930199473,3.44237154230703,"2018-11-10",2018-11-10,0,0
3.26825683712163,3.26968794907595,3.26682572516731,"2018-11-11",2018-11-11,0,0
6.38224691670866,6.38364721895184,6.38084661446547,"2018-11-12",2018-11-12,0,0
6.1179875606679,6.11934182015834,6.11663330117747,"2018-11-13",2018-11-13,0,0
6.34546920585356,6.34684752200913,6.34409088969799,"2018-11-14",2018-11-14,0,0
5.15682912121934,5.15824598306797,5.1554122593707,"2018-11-15",2018-11-15,0,0
4.60046808789162,4.60173322046524,4.599202955318,"2018-11-16",2018-11-16,0,0
3.4666175812063,3.46791125605711,3.46532390635548,"2018-11-17",2018-11-17,0,0
7.23644853905599,7.23777003428043,7.23512704383154,"2018-11-18",2018-11-18,0,0
3.31335035930088,3.31474510190111,3.31195561670064,"2018-11-19",2018-11-19,0,0
3.48852719085442,3.48987633247615,3.48717804923268,"2018-11-20",2018-11-20,0,0
3.80987582276781,3.81120456249734,3.80854708303828,"2018-11-21",2018-11-21,0,0
4.0306728285565,4.03192490146847,4.02942075564453,"2018-11-22",2018-11-22,0,0
3.47841996730434,3.47964573759488,3.47719419701381,"2018-11-23",2018-11-23,0,0
3.54418320019918,3.545398388783,3.54296801161535,"2018-11-24",2018-11-24,0,0
4.48885333007667,4.49004002684552,4.48766663330782,"2018-11-25",2018-11-25,0,0
4.62542202914712,4.62662803985727,4.62421601843697,"2018-11-26",2018-11-26,0,0
5.44840593785052,5.44962780465115,5.44718407104988,"2018-11-27",2018-11-27,0,0
5.86525019654396,5.86648608157645,5.86401431151147,"2018-11-28",2018-11-28,0,0
6.20393514859699,6.20511866123331,6.20275163596068,"2018-11-29",2018-11-29,0,0
7.79185942516559,7.79299268654237,7.79072616378882,"2018-11-30",2018-11-30,0,0
8.61743417298677,8.61858342976506,8.61628491620847,"2018-12-01",2018-12-01,0,0
7.3090741553503,7.31022896497024,7.30791934573037,"2018-12-02",2018-12-02,0,0
6.47251214278071,6.47368059496937,6.47134369059205,"2018-12-03",2018-12-03,0,0
6.76955606288446,6.7707225174983,6.76838960827061,"2018-12-04",2018-12-04,0,0
7.06520226808344,7.06630877675652,7.06409575941035,"2018-12-05",2018-12-05,0,0
7.13716315381508,7.13829525084109,7.13603105678906,"2018-12-06",2018-12-06,0,0
6.84264424440569,6.84374099230397,6.84154749650741,"2018-12-07",2018-12-07,0,0
7.44955424653518,7.45067386791059,7.44843462515977,"2018-12-08",2018-12-08,0,0
8.58137808404093,8.58248229929846,8.5802738687834,"2018-12-09",2018-12-09,0,0
7.09502361124848,7.09606534925336,7.0939818732436,"2018-12-10",2018-12-10,0,0
7.10051327925623,7.10153132130973,7.09949523720274,"2018-12-11",2018-12-11,0,0
7.76935554718625,7.77032435958846,7.76838673478405,"2018-12-12",2018-12-12,0,0
8.22866364026419,8.2297148885628,8.22761239196558,"2018-12-13",2018-12-13,0,0
9.20907626294268,9.2100893496372,9.20806317624815,"2018-12-14",2018-12-14,0,0
9.52574504585564,9.52679364459045,9.52469644712082,"2018-12-15",2018-12-15,0,0
8.01169119657928,8.01268627777897,8.01069611537958,"2018-12-16",2018-12-16,0,0
7.27978861334154,7.28079045441045,7.27878677227263,"2018-12-17",2018-12-17,0,0
6.26149144599135,6.26245563978065,6.26052725220204,"2018-12-18",2018-12-18,0,0
6.76744787407903,6.76843342872848,6.76646231942957,"2018-12-19",2018-12-19,0,0
7.62125570481953,7.62225673708131,7.62025467255775,"2018-12-20",2018-12-20,0,0
7.60108562000165,7.60209779348961,7.60007344651368,"2018-12-21",2018-12-21,0,0
7.22636424625488,7.22729160331311,7.22543688919665,"2018-12-22",2018-12-22,0,0
