"mean","upper_CI","lower_CI","date","forecast_run_day","day_in_future","timestep","chla_ugL","chla_sqrt","residual"
13.0419293124326,17.1007331889548,9.53215615239818,2019-08-09,2019-08-08,1,1,10.8061805555556,3.28727555211844,-2.23574875687704
12.8646822027933,18.3608174223343,8.34355662821971,2019-08-10,2019-08-08,2,2,10.9986713286713,3.31642447956701,-1.86601087412204
13.113368545407,18.9349056915959,8.35817800695388,2019-08-11,2019-08-08,3,3,12.0787412517483,3.47544835262277,-1.03462729365867
13.3829751962147,20.704687975397,7.65246745553597,2019-08-12,2019-08-08,4,4,13.5246853076923,3.67759232483595,0.14171011147759
13.1339980335812,22.3812744254894,6.33673121125696,2019-08-13,2019-08-08,5,5,16.9052777777778,4.11160282344706,3.77127974419663
12.9633616279946,22.8041092662959,5.88338446103672,2019-08-14,2019-08-08,6,6,13.7586713286713,3.70926830098219,0.7953097006767
12.9682386619759,23.0509315374037,5.76551933843409,2019-08-15,2019-08-08,7,7,13.3546153986014,3.65439672156724,0.3863767366255
12.6811816121294,22.3747270284179,5.7213588800489,2019-08-16,2019-08-08,8,8,14.6935211267606,3.83321289870007,2.01233951463117
12.8649981428456,24.0313962233058,5.15916371595879,2019-08-17,2019-08-08,9,9,13.4232638888889,3.66377727064418,0.558265746043316
13.2605598416477,24.8330606570008,5.28876828185027,2019-08-18,2019-08-08,10,10,12.4868531468531,3.53367417100857,-0.773706694794587
13.0986094752664,25.9574965641237,4.59480757439724,2019-08-19,2019-08-08,11,11,11.2144755174825,3.34880210186904,-1.88413395778395
12.9597807280685,26.1715361580438,4.34358420780254,2019-08-20,2019-08-08,12,12,10.9590277708333,3.31044223191303,-2.00075295723518
12.6138448642388,25.9893775023213,4.02089614725756,2019-08-21,2019-08-08,13,13,8.98395834722222,2.99732519877677,-3.62988651701663
13.1246281785308,28.4553640656939,3.65279548885884,2019-08-22,2019-08-08,14,14,8.95392856428571,2.99231157540215,-4.17069961424513
