attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
mean	mean forecast value in ug/L	numeric	microgramsPerLiter		NA	value is missing
upper_CI	upper 95% confidence interval of the forecast in ug/L	numeric	microgramsPerLiter		NA	value is missing
lower_CI	lower 95% confidence interval of the forecast in ug/L	numeric	microgramsPerLiter		NA	value is missing
date	date being forecasted	Date		YYYY_MM_DD	NA	value is missing
forecast_run_day	day the forecast was made	Date		YYYY_MM_DD hh:mm:ss	NA	value is missing
day_in_future	the number of days into the future being forecasted	numeric	nominalDay		NA	value is missing
timestep	the number of timesteps being propagated into the future	numeric	nominalDay		NA	value is missing
chla_ugL	observed chl concentration on the day being forecasted	numeric	microgramsPerLiter		NA	value is missing
chla_sqrt	observed chl concentration in square root units on the day being forecasted	numeric	microgramsPerLiter		NA	value is missing
residual	residual difference between the observed and forecasted chl in ug/L	numeric	microgramsPerLiter		NA	value is missing
