"day_in_future","daily","weekly","fortnightly","daily_null","weekly_null","fortnightly_null","daily_bloom","weekly_bloom","fortnightly_bloom","daily_bloom_null","weekly_bloom_null","fortnightly_bloom_null","daily_nonbloom","weekly_nonbloom","fortnightly_nonbloom","daily_nonbloom_null","weekly_nonbloom_null","fortnightly_nonbloom_null"
1,1.88334176541807,NA,NA,1.1197981359457,NA,NA,5.35258459979734,NA,NA,3.10201113480455,NA,NA,1.23300324147459,NA,NA,0.760476042487574,NA,NA
2,2.79384338067784,NA,NA,2.31834432832126,NA,NA,8.34632380479763,NA,NA,6.70739280900057,NA,NA,1.67681765315972,NA,NA,1.4752944816769,NA,NA
3,3.56800402312611,NA,NA,3.0957624443656,NA,NA,10.7068090547678,NA,NA,8.89306719992009,NA,NA,2.12213368465601,NA,NA,1.99311361467858,NA,NA
4,4.3302572404686,NA,NA,3.75469045335291,NA,NA,13.3773024116881,NA,NA,10.4376527345884,NA,NA,2.40700778982433,NA,NA,2.53500698773107,NA,NA
5,4.91680047934105,NA,NA,4.39881815516634,NA,NA,15.4389386892987,NA,NA,12.6434178007044,NA,NA,2.61745435913794,NA,NA,2.82579403251603,NA,NA
6,5.49208192500029,NA,NA,4.87377548686974,NA,NA,17.335606163929,NA,NA,13.7877084421063,NA,NA,2.88020633100396,NA,NA,3.20922626400038,NA,NA
7,5.98861246314761,5.52900660029703,NA,5.40136010258886,5.39616356825311,NA,18.8668394572873,18.3574807284954,NA,15.0791467410469,15.0185263795269,NA,3.15808661495301,2.40527800504762,NA,3.6253724352127,3.63734102522759,NA
8,6.42839057614444,NA,NA,5.82990219385349,NA,NA,20.1139286828853,NA,NA,16.0840020275526,NA,NA,3.45601223366704,NA,NA,3.97654365723097,NA,NA
9,6.86440280479976,NA,NA,6.23622786448523,NA,NA,21.2338035381511,NA,NA,16.9770265941937,NA,NA,3.80308046843474,NA,NA,4.32715037578597,NA,NA
10,7.20326281460029,NA,NA,6.67241735379957,NA,NA,21.8141401333561,NA,NA,17.6738498258055,NA,NA,4.19467842451041,NA,NA,4.78093248437954,NA,NA
11,7.46783815933518,NA,NA,7.03903785591484,NA,NA,22.4258110437668,NA,NA,18.1518949662759,NA,NA,4.42743633918366,NA,NA,5.18705949880642,NA,NA
12,7.64037305875668,NA,NA,7.34656376992636,NA,NA,22.9366092562075,NA,NA,18.5876397720876,NA,NA,4.53272470665851,NA,NA,5.51293933216409,NA,NA
13,7.76713133139084,NA,NA,7.56088326103571,NA,NA,23.3875734946944,NA,NA,18.8971932797184,NA,NA,4.57896392631621,NA,NA,5.73649272436428,NA,NA
14,7.86727539179887,6.78795242629914,6.95166577059195,7.73244185826078,7.75187959111048,7.75697148154091,23.79198861991,23.1020161200745,23.5610189169603,19.4579450031548,19.4311253173877,19.4316826992844,4.59521434235743,2.60391272081692,2.722135231435,5.83126634114701,5.87430085882774,5.87741976651056
