Day in future,Forecast,Null,Forecast non-bloom,daily_bloom_null,daily_nonbloom,daily_nonbloom_null
1,2.6,3.4,7.5,10.0,1.6,2.2
2,3.3,4.0,9.7,11.7,2.0,2.6
3,4.0,4.6,12.3,13.2,2.3,2.9
4,4.6,5.1,14.3,14.6,2.5,3.3
5,5.2,5.5,16.3,15.6,2.8,3.7
6,5.7,6.0,17.9,16.5,3.1,4.0
7,6.2,6.3,19.3,17.3,3.4,4.4
7*,6.7,6.9,22.6,20.1,2.6,4.3
8,6.7,6.7,20.7,17.9,3.6,4.7
9,7.0,7.0,21.5,18.5,4.0,5.0
10,7.4,7.2,22.1,19.0,4.4,5.2
11,7.6,7.4,22.5,19.4,4.7,5.4
12,7.8,7.6,22.9,19.9,4.8,5.5
13,7.9,7.7,23.4,20.2,4.9,5.6
14,8.0,7.8,23.8,20.5,4.9,5.7
14*,7.0,8.0,23.7,22.4,2.7,5.3
14',7.2,8.9,24.3,23.9,3.0,6.3
