"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m"
2018-06-13 02:00:00,1,287.5,9.999e+20,9.999e+20,9.999e+20,98.4,1.2099999,1.01
2018-06-13 08:00:00,1,290.1,345,37,2e-06,93.8,1.24,1.56
2018-06-13 14:00:00,1,300.9,376,743,5e-05,67.700005,1.55,2.26
2018-06-13 20:00:00,1,297.6,411,409,9.5e-05,87.3,0.66999996,1.4399999
2018-06-14 02:00:00,1,292.30002,375,2,2.3e-05,97.700005,-0.82,1.99
2018-06-14 08:00:00,1,293.80002,357,40,0,96.4,-1.11,1.6899999
2018-06-14 14:00:00,1,302.9,378,743,2e-06,40.4,-3.03,2.03
2018-06-14 20:00:00,1,296.1,355,604,0,50.5,-2.87,1.09
2018-06-15 02:00:00,1,287.9,310,3,0,68.6,-1.79,1.28
2018-06-15 08:00:00,1,290,305,44,0,68.4,-1.76,0.61
2018-06-15 14:00:00,1,301.6,328,785,0,29.6,-0.57,-1.7199999
2018-06-15 20:00:00,1,295.7,353,599,0,62.2,2,-0.72999996
2018-06-16 02:00:00,1,287.1,333,3,0,86.3,1.12,1.04
2018-06-16 08:00:00,1,291.4,326,42,0,73.3,0.9,1.36
2018-06-16 14:00:00,1,304.7,362,762,0,40.2,1.23,0.06
2018-06-16 20:00:00,1,297.9,389,572,1.9e-05,74.1,1.87,0.01
2018-06-17 02:00:00,1,292.1,366,3,0,95.1,0.61,2
2018-06-17 08:00:00,1,294.4,355,41,0,82,-1.01,1.39
2018-06-17 14:00:00,1,306.5,386,754,0,37.4,-0.22999999,-1.4499999
2018-06-17 20:00:00,1,299.6,412,473,2e-05,73.1,1.29,-0.049999997
2018-06-18 02:00:00,1,293.7,374,3,0,82.700005,-0.29,1.9
2018-06-18 08:00:00,1,295.5,362,41,0,80.5,-1.11,1.4499999
2018-06-18 14:00:00,1,309.6,392,759,1.3e-05,36.5,0.21,0.13
2018-06-18 20:00:00,1,300.47,413,555,4.8e-05,72.200005,-0.089999996,1.74
2018-06-19 02:00:00,1,295,385,3,0,88.3,-1.02,1.89
2018-06-19 08:00:00,1,296.30002,375,40,4.3e-05,85.200005,-1.29,1.9599999
2018-06-19 14:00:00,1,304.7,397,745,0.000149,50.9,-1.38,1.5999999
2018-06-19 20:00:00,1,298.9,413,532,0.000176,89.9,-0.099999994,1.8199999
2018-06-20 02:00:00,1,294.1,385,3,3.3e-05,96.4,-0.97999996,1.86
2018-06-20 08:00:00,1,295.2,376,39,6.2e-05,93.700005,-0.89,1.61
2018-06-20 14:00:00,1,303.2,397,706,9.2e-05,57.7,-0.06,2.33
2018-06-20 20:00:00,1,298.4,414,468,0.000101,83.700005,0.81,1.56
2018-06-21 02:00:00,1,293.30002,382,3,1.2e-05,96.1,-0.52,2.02
2018-06-21 08:00:00,1,294.7,377,35,1e-06,90.8,0.84,1.99
2018-06-21 14:00:00,1,301.2,409,498,3e-06,59.3,0.53,4.45
2018-06-21 20:00:00,1,298.5,419,390,3e-05,83.8,0.82,1.4
2018-06-22 02:00:00,1,294.30002,388,3,7e-06,96.8,1.54,1.92
2018-06-22 08:00:00,1,295.7,378,36,0,84.8,1.53,3.46
2018-06-22 14:00:00,1,303.1,399,698,0,50.3,-0.32,5.43
