"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-04-29 00:00:00",1,289.80002,9.999e+20,9.999e+20,9.999e+20,80.4,-3.35,-0.02,0.00987,96497.125
"2019-04-29 06:00:00",1,284.5,328,0,2e-06,84.6,-1.2099999,-2.6599998,0.00733,97073.99
"2019-04-29 12:00:00",1,280.4,322,20,2e-06,81,-1.09,-2.3799999,0.0053,97388.586
"2019-04-29 18:00:00",1,289.9,313,612,0,56.9,2.08,-1.8399999,0.0069799996,97257.2
"2019-04-30 00:00:00",1,288.5,338,429,0,83.9,2.28,-0.089999996,0.0094,97041.33
"2019-04-30 06:00:00",1,285.30002,314,0,0,98.1,1.76,1.86,0.00894,97046.234
"2019-04-30 12:00:00",1,288,312,25,0,90.9,1.05,2.3999999,0.0099,97084.41
"2019-04-30 18:00:00",1,301.1,344,727,0,41,1.14,2.73,0.01004,97028.2
"2019-05-01 00:00:00",1,293.4,366,523,8.3e-05,81.1,1.3299999,1.3399999,0.0124699995,97029.586
"2019-05-01 06:00:00",1,289.6,346,0,5e-06,95.3,1.05,1.9799999,0.01151,97129.23
"2019-05-01 12:00:00",1,290.30002,331,26,0,91.8,0.65,-0.01,0.01157,97235.49
"2019-05-01 18:00:00",1,300.7,346,723,0,45,3.75,0.56,0.010749999,97164.56
"2019-05-02 00:00:00",1,293.6,367,502,5.8999998e-05,84.4,2.09,0.089999996,0.01309,97077.71
"2019-05-02 06:00:00",1,288.9,349,0,0,93.5,1.43,1.5699999,0.01077,97102.04
"2019-05-02 12:00:00",1,289.1,326,25,0,91.700005,0.53,1.88,0.01072,97118.87
"2019-05-02 18:00:00",1,301.30002,344,731,0,38.100002,2.81,0.38,0.009459999,96954.29
"2019-05-03 00:00:00",1,294.30002,360,517,0,70.4,2.45,0.69,0.01148,96755.66
