forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m
2018-05-11 06:00:00,1,287.6,9999e17,9999e17,9999e17,89.6,-1.1999999,2.11
2018-05-11 12:00:00,1,290.1,317,33,0,81.3,-0.41,1.91
2018-05-11 18:00:00,1,302.35,355,746,1.5e-5,43.100002,-0.65999997,1.5799999
2018-05-12 00:00:00,1,294.4,379,480,1.83e-4,84.3,0.89,0.71
2018-05-12 06:00:00,1,290.2,354,0,3.1e-5,90.6,-0.099999994,2.03
2018-05-12 12:00:00,1,291.1,336,33,0,92.5,-0.089999996,1.9399999
2018-05-12 18:00:00,1,303.71,362,746,0,35.100002,1.37,2.9099998
2018-05-13 00:00:00,1,294.84,379,526,6.7e-5,84.8,-0.14999999,2.35
2018-05-13 06:00:00,1,290.4,351,1,0,87.5,-0.53999996,2.35
2018-05-13 12:00:00,1,292.2,339,33,0,79.5,-0.64,2.1299999
2018-05-13 18:00:00,1,303.9,365,747,0,36.600002,0.96,2.73
2018-05-14 00:00:00,1,295.86,382,533,9.6e-5,79.8,0.48,1.9699999
2018-05-14 06:00:00,1,290.30002,350,1,8e-6,89.6,-0.96999997,2.33
2018-05-14 12:00:00,1,292.80002,345,33,0,84,0.13,1.8199999
2018-05-14 18:00:00,1,299,380,727,1.7099999e-4,85,-0.83,2.1499999
2018-05-15 00:00:00,1,295.66,399,441,1.07e-4,92.4,-0.47,1.49
2018-05-15 06:00:00,1,292.41998,383,0,8.1e-5,94.4,-0.89,1.66
2018-05-15 12:00:00,1,294.4,361,28,0,92.6,-0.55,0.78999996
2018-05-15 18:00:00,1,302.6,376,714,1.54e-4,50.5,2.29,0.29999998
2018-05-16 00:00:00,1,295.84,391,497,1.32e-4,91.8,1.9699999,-0.37
2018-05-16 06:00:00,1,291.6,374,1,4e-6,98.4,1.6999999,0.96999997
2018-05-16 12:00:00,1,292.2,355,33,0,96.5,1.62,0.75
2018-05-16 18:00:00,1,301.1,375,711,8e-6,52.5,3.4199998,0.44
2018-05-17 00:00:00,1,294.6,384,533,2.37e-4,93.8,1.93,0.65999997
2018-05-17 06:00:00,1,291.7,378,1,2.3e-5,98.3,2.12,1.17
2018-05-17 12:00:00,1,292.4,368,29,1e-6,97.8,1.4399999,1.23
2018-05-17 18:00:00,1,301.80002,373,714,6e-6,49.600002,4.1,1.54
2018-05-18 00:00:00,1,294.5,383,514,1.65e-4,94,2.9099998,0.07
2018-05-18 06:00:00,1,291.30002,366,1,0,98.9,2.09,0.56
2018-05-18 12:00:00,1,291.80002,389,8,1.4e-5,97.8,2.19,-0.58
2018-05-18 18:00:00,1,295.1,408,164,5.1e-5,91.5,2.59,-0.66999996
2018-05-19 00:00:00,1,293.4,391,290,2.96e-4,96.8,3.07,-0.21
2018-05-19 06:00:00,1,291.6,379,1,7.6e-5,98.9,2.23,0.02
2018-05-19 12:00:00,1,291.9,400,9,1.6e-5,98.700005,1.64,-0.26999998
2018-05-19 18:00:00,1,295.7,407,220,2.1e-5,80.700005,2.76,0.34
2018-05-20 00:00:00,1,294.6,398,243,1.5e-5,86.1,2.46,0.48999998
2018-05-20 06:00:00,1,291.7,387,1,5e-6,98.3,1.73,0.34
2018-05-20 12:00:00,1,292.1,392,16,8e-6,96.1,1.67,0.47
2018-05-20 18:00:00,1,297.6,401,383,1.4e-5,68.3,2.7,0.82
2018-05-21 00:00:00,1,293.30002,396,329,6.7e-5,94.4,2.09,0.48999998
2018-05-21 06:00:00,1,290.2,373,1,1.8e-5,99.1,1.5799999,0.41
2018-05-21 12:00:00,1,290.30002,361,27,5e-6,98.5,1.67,0.83
2018-05-21 18:00:00,1,298.1,377,606,3e-5,68,1.7099999,1.35
2018-05-22 00:00:00,1,294.1,390,421,2.01e-4,95.8,1.5,0.55
2018-05-22 06:00:00,1,291.30002,382,0,1.43e-4,98.8,0.82,1.53
2018-05-22 12:00:00,1,292.4,365,32,1e-6,96.6,-0.38,1.03
2018-05-22 18:00:00,1,296.7,381,660,2.29e-4,91.4,0.71,-1.5699999
2018-05-23 00:00:00,1,293.7,392,388,4.24e-4,96.9,-0.12,-2.08
2018-05-23 06:00:00,1,291.2,389,0,9.01e-4,99.200005,-0.31,-1.86
2018-05-23 12:00:00,1,291.1,396,5,1e-4,99.3,0.53,-1.24
2018-05-23 18:00:00,1,295.5,400,324,1.42e-4,94.3,3.09,0.53999996
2018-05-24 00:00:00,1,293.9,395,312,2.26e-4,95.700005,2.1399999,1.3
2018-05-24 06:00:00,1,291.5,386,1,1.37e-4,98.700005,1.8499999,1.31
2018-05-24 12:00:00,1,292,362,34,4e-6,97.700005,0.66999996,1.36
2018-05-24 18:00:00,1,303.30002,379,657,2e-6,48.600002,0.84999996,0.65999997
2018-05-25 00:00:00,1,296.1,384,527,5.7e-5,79,-1.28,2.35
2018-05-11 06:00:00,2,287.2,9999e17,9999e17,9999e17,94.700005,-0.87,1.81
2018-05-11 12:00:00,2,289.9,316,33,0,80.200005,-0.53999996,1.9499999
2018-05-11 18:00:00,2,302.41,353,748,1e-5,41.4,-0.84999996,1.5
2018-05-12 00:00:00,2,294.05,374,523,1.97e-4,82.5,0.62,0.74
2018-05-12 06:00:00,2,290,353,0,1.2e-5,90.1,-0.26,1.86
2018-05-12 12:00:00,2,290.7,357,8,0,92.3,0.01,1.9699999
2018-05-12 18:00:00,2,299.80002,387,258,0,54.600002,1.8399999,1.5
2018-05-13 00:00:00,2,296.05,385,392,1.8e-5,76.9,0.88,1.62
2018-05-13 06:00:00,2,291.30002,353,1,0,82.200005,-0.44,2.28
2018-05-13 12:00:00,2,293.1,351,33,0,78.4,-0.24,1.8199999
2018-05-13 18:00:00,2,303.6,369,744,0,38.8,0.95,3.09
2018-05-14 00:00:00,2,296.72,384,546,7e-6,74.200005,0.21,1.9
2018-05-14 06:00:00,2,291.2,353,1,0,81.8,-0.66999996,2.19
2018-05-14 12:00:00,2,293.2,346,31,0,78.700005,-0.84,1.79
2018-05-14 18:00:00,2,302.7,383,707,6.3e-5,52.4,1.8199999,1.29
2018-05-15 00:00:00,2,295.33,402,383,2.46e-4,88.700005,1.13,0.77
2018-05-15 06:00:00,2,292,380,0,3.9e-5,96.4,0.98999995,1.88
2018-05-15 12:00:00,2,293.5,372,17,0,92.8,-0.32,0.97999996
2018-05-15 18:00:00,2,298.7,387,508,2.02e-4,68.700005,2.36,-0.14999999
2018-05-16 00:00:00,2,293.63,397,259,7.1e-5,95.5,0.94,-0.29
2018-05-16 06:00:00,2,288.30002,369,0,3e-6,98.1,0.52,0.03
2018-05-16 12:00:00,2,291.1,350,33,4.3e-5,96.200005,0.47,1.54
2018-05-16 18:00:00,2,300.4,367,678,0,47.2,3.1599998,1.9699999
2018-05-17 00:00:00,2,296.62253,378,526,5e-6,71.6,3.47,0.35999998
2018-05-17 06:00:00,2,292.2,364,1,3e-6,94.1,2.27,1.3199999
2018-05-17 12:00:00,2,292,380,15,3.4e-5,98.1,1.8,-0.24
2018-05-17 18:00:00,2,299.1,387,578,3.1e-5,60.100002,4.98,0.48
2018-05-18 00:00:00,2,293.5,400,317,7.4e-5,95.6,2.71,0.02
2018-05-18 06:00:00,2,292,398,1,2.1e-5,98.5,1.54,-0.34
2018-05-18 12:00:00,2,291.5,395,6,2.5e-5,98.4,1.89,-0.19999999
2018-05-18 18:00:00,2,297,403,250,1.9e-5,70.8,2.9399998,0.32999998
2018-05-19 00:00:00,2,294.6,380,479,5.2e-5,79.8,2.72,0.65
2018-05-19 06:00:00,2,288.80002,364,1,3.01e-4,98.5,-1.25,-2.75
2018-05-19 12:00:00,2,286.80002,384,2,1.38e-4,97.200005,-1.5999999,-3.6999998
2018-05-19 18:00:00,2,286,372,54,1.66e-4,98.200005,-1.66,-3.24
2018-05-20 00:00:00,2,285.7,372,83,2.13e-4,97.700005,-2.4299998,-2.76
2018-05-20 06:00:00,2,283.7,366,0,2.18e-4,98.6,-2,-0.91999996
2018-05-20 12:00:00,2,284.5,365,12,5.3e-5,98.8,-1.37,-0.78
2018-05-20 18:00:00,2,296.49,361,571,3e-6,62.4,1.79,-0.59999996
2018-05-21 00:00:00,2,293.07,397,263,3e-6,87.4,1.13,-0.53
2018-05-21 06:00:00,2,287.9,380,1,1e-6,98.5,0.79999995,0.45999998
2018-05-21 12:00:00,2,292.07,376,20,5e-6,93.3,0.84999996,0.51
2018-05-21 18:00:00,2,298.43,390,517,1.1e-5,67.1,2.6699998,0.099999994
2018-05-22 00:00:00,2,293.59,383,382,9.5e-5,96.1,1.8399999,0.25
2018-05-22 06:00:00,2,290.80002,383,1,2e-5,98.5,1.67,0.53999996
2018-05-22 12:00:00,2,290.6,362,27,6e-6,98.5,1.3299999,0.85999995
2018-05-22 18:00:00,2,299.88,382,573,2.3e-5,56.100002,1.86,0.41
2018-05-23 00:00:00,2,295.43,388,461,1.7e-5,84.4,0.97999996,0.42
2018-05-23 06:00:00,2,290.5,355,1,0,97.200005,0.099999994,1.78
2018-05-23 12:00:00,2,291.9,347,34,5.3e-5,98.200005,-0.78,1.63
2018-05-23 18:00:00,2,301.4,375,725,1.4e-5,52.4,-3.28,1.37
2018-05-24 00:00:00,2,292.4,369,537,2.06e-4,91.5,-1.27,-2.22
2018-05-24 06:00:00,2,285.5,358,1,6.4e-5,92.200005,-1.78,-2.1699998
2018-05-24 12:00:00,2,282.9,296,24,4e-6,91.6,-2.57,-2.82
2018-05-24 18:00:00,2,290.7,326,489,9e-6,43.600002,-2.1599998,-4.5499997
2018-05-25 00:00:00,2,287.2,289,597,0,53.5,-0.84999996,-3.28
2018-05-11 06:00:00,3,287.4,9999e17,9999e17,9999e17,91.3,-0.87,1.92
2018-05-11 12:00:00,3,290.1,318,32,0,81.1,-0.049999997,1.9399999
2018-05-11 18:00:00,3,302.09,356,745,2.1e-5,45.100002,-0.55,1.9499999
2018-05-12 00:00:00,3,294.47998,375,525,2.3599999e-4,85.5,0.42,1.12
2018-05-12 06:00:00,3,288,355,0,1.23e-4,94.200005,0.089999996,1.18
2018-05-12 12:00:00,3,291,337,33,0,94.200005,0.16,1.89
2018-05-12 18:00:00,3,302.80002,362,743,1.1e-5,40.9,1.2099999,3.12
2018-05-13 00:00:00,3,294.33,375,541,1.39e-4,86.6,-0.32,2.3799999
2018-05-13 06:00:00,3,290.1,348,1,0,88.9,-0.45999998,2.4099998
2018-05-13 12:00:00,3,292.2,344,33,0,79.200005,-0.9,2.18
2018-05-13 18:00:00,3,303.4,367,745,0,37.5,1.23,2.95
2018-05-14 00:00:00,3,295.34,385,494,5.2e-5,77.9,0.45999998,2.07
2018-05-14 06:00:00,3,291.0572,351,1,0,82.4,-1.12,2.4199998
2018-05-14 12:00:00,3,293.4,351,34,0,83.1,0.11,1.8399999
2018-05-14 18:00:00,3,299.24,383,642,7.2e-5,72.700005,-0.29,2.26
2018-05-15 00:00:00,3,296.05,389,498,1.3e-4,89.1,0.14999999,1.68
2018-05-15 06:00:00,3,291.88998,360,1,4.2e-5,97.700005,-0.53999996,1.91
2018-05-15 12:00:00,3,293.5,356,33,1.11e-4,93.3,-0.47,1.5
2018-05-15 18:00:00,3,301.5,374,738,2.08e-4,60.4,0.77,2.6299999
2018-05-16 00:00:00,3,295.96,387,532,1.46e-4,86.9,0.26,1.55
2018-05-16 06:00:00,3,291.4,365,1,1.11e-4,95.6,-0.16,1.62
2018-05-16 12:00:00,3,292.4,360,23,9.9e-5,96.8,-0.9,1.61
2018-05-16 18:00:00,3,304.4,374,716,4e-6,36.7,-0.34,2.04
2018-05-17 00:00:00,3,295.6,387,534,8.6e-5,83.8,-0.11,2.22
2018-05-17 06:00:00,3,290.9,366,1,4.8e-5,92.8,-1.43,1.39
2018-05-17 12:00:00,3,292.5,345,35,0,90.9,-1.06,1.14
2018-05-17 18:00:00,3,302.30002,368,744,3.1e-5,55.2,0.63,-1.3199999
2018-05-18 00:00:00,3,293.80002,385,456,3.96e-4,96.6,-0.35999998,-1.9799999
2018-05-18 06:00:00,3,291.1,381,0,4.34e-4,98.200005,-0.01,-3.1599998
2018-05-18 12:00:00,3,288.1,392,2,7.1e-5,97.700005,-1.0699999,-3.25
2018-05-18 18:00:00,3,288.30002,382,71,6e-5,97.6,-1.29,-3
2018-05-19 00:00:00,3,288.4,383,54,1.72e-4,97.9,-0.45,-3.85
2018-05-19 06:00:00,3,286.80002,381,0,2.54e-4,98.200005,-1.3,-3.4499998
2018-05-19 12:00:00,3,286.2,375,2,2.4e-4,99.1,-1.61,-2.59
2018-05-19 18:00:00,3,290.80002,384,79,3.1e-4,99.200005,-0.25,-2.1599998
2018-05-20 00:00:00,3,292.2,397,82,5.15e-4,98.5,0.75,-1.1999999
2018-05-20 06:00:00,3,290.80002,386,0,2.63e-4,99.1,1.5799999,-0.22
2018-05-20 12:00:00,3,290.80002,367,24,3e-6,98.6,1.48,-0.14
2018-05-20 18:00:00,3,298.5,377,594,8e-6,55.8,3.3799999,-0.71999997
2018-05-21 00:00:00,3,293.6,381,468,3.8e-5,89.200005,1.93,-0.42999998
2018-05-21 06:00:00,3,290.30002,376,1,6.5e-5,98.6,0.76,-0.59
2018-05-21 12:00:00,3,290.9,384,11,3.8e-5,98.8,0.35,-1.09
2018-05-21 18:00:00,3,296.2,399,321,5.2e-5,82.5,1.17,-0.79999995
2018-05-22 00:00:00,3,293.9,398,298,7.1e-5,95.700005,0.39,-1.15
2018-05-22 06:00:00,3,291,391,1,2.3e-5,98.9,-0.37,-0.79999995
2018-05-22 12:00:00,3,292.6,375,23,2e-6,96.5,-0.57,-0.59999996
2018-05-22 18:00:00,3,297.4,395,524,5.8e-5,77.700005,-0.02,-1.89
2018-05-23 00:00:00,3,293.9,397,358,1.7099999e-4,96.4,-0.26999998,-1.73
2018-05-23 06:00:00,3,291,381,1,8.4e-5,98.8,-0.79999995,-1.8399999
2018-05-23 12:00:00,3,290.6,383,25,1.1e-5,97.6,-1.22,-0.87
2018-05-23 18:00:00,3,300.4,382,609,7e-6,55.5,-0.39999998,-1.5
2018-05-24 00:00:00,3,294.5,403,328,5e-6,87.3,0.35,-1.11
2018-05-24 06:00:00,3,288.1,371,1,0,97.200005,0.44,-0.32999998
2018-05-24 12:00:00,3,292.5,347,37,0,91.9,-0.52,1.02
2018-05-24 18:00:00,3,304,377,724,1e-6,45.8,-0.89,-0.65
2018-05-25 00:00:00,3,297.52,393,505,1e-6,79.700005,0.48,-0.5
2018-05-11 06:00:00,4,287.9,9999e17,9999e17,9999e17,87,-1.54,1.9699999
2018-05-11 12:00:00,4,290,314,33,0,81,-0.03,1.73
2018-05-11 18:00:00,4,302.32,355,746,1.3e-5,42.3,-0.61,1.77
2018-05-12 00:00:00,4,294.83,382,467,9.7e-5,84,1.14,1.28
2018-05-12 06:00:00,4,290.2,352,0,1.9e-5,92.9,0.29999998,2.23
2018-05-12 12:00:00,4,290.9,334,33,0,90.5,-0.22999999,2.31
2018-05-12 18:00:00,4,303.75998,361,746,0,34.7,-0.26,3.58
2018-05-13 00:00:00,4,295.59,378,542,3.8e-5,76.4,-0.51,2.02
2018-05-13 06:00:00,4,290.80002,348,1,0,78.700005,-0.56,2.49
2018-05-13 12:00:00,4,292.6,344,33,0,73.3,-0.85999995,2.24
2018-05-13 18:00:00,4,303.28998,362,749,0,36.100002,-0.06,3.04
2018-05-14 00:00:00,4,296.03,379,546,1.3e-5,74.8,0.03,1.9
2018-05-14 06:00:00,4,291.9,354,1,0,79.5,-1.3,2.09
2018-05-14 12:00:00,4,293.30002,350,33,0,82.9,-0.21,1.86
2018-05-14 18:00:00,4,299.62,384,688,1.07e-4,76.4,0.24,1.7199999
2018-05-15 00:00:00,4,296.07,395,427,9.3e-5,91.1,0.32999998,1.23
2018-05-15 06:00:00,4,292.1,370,1,2.3e-5,95.6,-0.69,1.4499999
2018-05-15 12:00:00,4,293.7,358,24,0,93.9,0.07,1.3
2018-05-15 18:00:00,4,301.7,385,599,6.6e-5,60.2,0.98999995,1.38
2018-05-16 00:00:00,4,295.34,398,364,9.4e-5,92.8,1.81,-0.17999999
2018-05-16 06:00:00,4,291.7,373,1,2.21e-4,98.200005,0.59999996,1.4699999
2018-05-16 12:00:00,4,292.1,368,17,7.4e-5,97.3,-0.66999996,0.85999995
2018-05-16 18:00:00,4,300.6,380,682,5.7e-5,63.9,1.8399999,-0.87
2018-05-17 00:00:00,4,295.2,382,535,1.75e-4,92.3,1.65,-0.22999999
2018-05-17 06:00:00,4,291.4,366,1,1.84e-4,98.200005,1.4599999,1.12
2018-05-17 12:00:00,4,292.6,367,22,1.1e-5,97.200005,0.89,0.84999996
2018-05-17 18:00:00,4,299.5,388,561,8.1e-5,68.200005,3.1999998,0.03
2018-05-18 00:00:00,4,294.7,390,461,2.13e-4,96,1.9799999,0.089999996
2018-05-18 06:00:00,4,292.6,386,1,4.5e-5,99,2.11,0.19999999
2018-05-18 12:00:00,4,292,395,13,7.2e-5,98.5,2.26,-0.29999998
2018-05-18 18:00:00,4,293.9,396,283,1.6e-4,96.1,3.53,-0.29999998
2018-05-19 00:00:00,4,292.6,406,127,1.76e-4,98.1,2.46,-0.52
