forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc
2018-10-25 00:00:00,1,279.34,9999e17,9999e17,9999e17,67.700005,-1.53,1.68,0.00413,96952.69
2018-10-25 06:00:00,1,275.75,248,0,0,82.3,-1.66,0.48,0.0038899998,97100.65
2018-10-25 12:00:00,1,273.25998,248,0,0,94.8,0.65,-0.45,0.00375,97040.43
2018-10-25 18:00:00,1,284.99,278,390,0,53.4,1.9799999,0.51,0.00477,96864.695
2018-10-26 00:00:00,1,277.6,293,166,0,94.9,1.66,0.19999999,0.00514,96655.77
2018-10-26 06:00:00,1,277.41998,265,0,0,91.700005,1.16,0.81,0.0049099997,96553.414
2018-10-26 12:00:00,1,277.28,302,0,7.6e-5,96.9,1.7099999,-0.45,0.00514,96407.23
2018-10-26 18:00:00,1,278.09,328,30,7.31e-4,98,0.26999998,-1.86,0.0055199997,96080.85
2018-10-27 00:00:00,1,278.03,336,9,6.5e-4,98.200005,-1.3399999,-2.4199998,0.0055299997,95715.125
2018-10-27 06:00:00,1,279.04,339,0,8.6e-5,98.4,-2.07,0.34,0.00597,95294.27
2018-10-27 12:00:00,1,279.85,332,0,1e-5,98,-0.74,1.63,0.0063,95145.04
2018-10-27 18:00:00,1,287.68,311,380,0,69.9,-1.29,3.85,0.0075999997,95144.74
2018-10-28 00:00:00,1,281.65,314,172,1e-6,89.1,-0.96,2.53,0.00647,95320.086
2018-10-28 06:00:00,1,280.71,310,0,0,82.6,-0.78,2.59,0.00562,95497.62
2018-10-28 12:00:00,1,278.91998,303,0,1e-6,92.3,0.34,2.51,0.00554,95741.914
2018-10-28 18:00:00,1,285.94,283,390,1e-6,58.100002,0.31,4.42,0.0056,95783
2018-10-29 00:00:00,1,281.6,314,181,3.3e-5,94.3,2.06,0.39,0.0067999996,95645.79
2018-10-29 06:00:00,1,281.53,320,0,1.62e-4,96.5,0.37,3.46,0.0069399998,95471.695
2018-10-29 12:00:00,1,278.06,267,0,0,96.4,0.82,2.3,0.00545,95708.086
2018-10-29 18:00:00,1,281.43,309,190,8e-6,73.3,-2.44,4.39,0.0052,96047.125
2018-10-30 00:00:00,1,278.57,314,71,3e-6,77.9,-2.28,2.96,0.00452,96336.664
2018-10-30 06:00:00,1,276.74,255,0,0,84.6,-1.5899999,2.58,0.00432,96435.43
2018-10-30 12:00:00,1,275.22998,240,0,0,84.700005,-2.06,2.62,0.00388,96684.65
2018-10-30 18:00:00,1,285.69,246,470,0,45.2,-2.01,1.54,0.0042399997,96719.664
2018-10-31 00:00:00,1,278.16,263,255,0,74.3,-1.27,1.3199999,0.0041799997,96866.12
