"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-06-13 06:00:00",1,286.4,9.999e+20,9.999e+20,9.999e+20,98.1,-1.16,-1.1999999,0.00969,95982.24
"2019-06-13 12:00:00",1,287.7,372,19,1.7e-05,97.3,0.78,1.3399999,0.01052,95794.37
"2019-06-13 18:00:00",1,297.5,348,708,3e-05,42.100002,1.99,5.58,0.00844,95655.68
"2019-06-14 00:00:00",1,291.30002,331,589,3e-06,45.3,-1.77,4.5099998,0.00616,96016.37
"2019-06-14 06:00:00",1,283,285,3,0,78.9,-0.62,3.11,0.0061899996,96377.29
"2019-06-14 12:00:00",1,285.30002,266,50,0,55.3,-2.35,4.2,0.00506,96605.625
"2019-06-14 18:00:00",1,295.6,288,810,0,31.7,-2.6799998,3.35,0.0055799996,96819.03
"2019-06-15 00:00:00",1,291.6,314,618,0,66.3,1.09,-0.39999998,0.00912,96750.55
"2019-06-15 06:00:00",1,284.80002,296,3,0,71.700005,1.38,2.07,0.00633,96914.42
"2019-06-15 12:00:00",1,287.5,286,45,0,66.5,2.1299999,1.86,0.00701,96887.37
"2019-06-15 18:00:00",1,299.9,316,793,0,35.3,3.81,1.54,0.00806,96731.46
"2019-06-16 00:00:00",1,295.5,353,598,0,63.2,3.37,0.5,0.0110599995,96539.586
"2019-06-16 06:00:00",1,289.5,340,3,0,75.8,2.21,2.01,0.009149999,96553
"2019-06-16 12:00:00",1,291.4,330,40,0,74,0.7,2.18,0.010079999,96556.49
"2019-06-16 18:00:00",1,303.9,371,752,0,41.3,2.4099998,2.27,0.011969999,96341.8
"2019-06-17 00:00:00",1,297.6,403,512,8.5e-05,77.3,2.26,1.38,0.01542,96247.68
"2019-06-17 06:00:00",1,292.7,369,3,0,93.8,0.95,2.28,0.01385,96311.586
"2019-06-17 12:00:00",1,293.5,361,36,7e-05,94.5,0.37,2.18,0.01469,96345.96
"2019-06-17 18:00:00",1,301.2,387,748,0.000135,78.1,2.4099998,2,0.01939,96269.23
"2019-06-18 00:00:00",1,296.6,400,527,0.000162,93.200005,1.49,1.63,0.017549999,96275.43
"2019-06-18 06:00:00",1,292.30002,376,2,0,97,0.22,1.92,0.01399,96165.586
"2019-06-18 12:00:00",1,293.4,351,40,0,90.200005,-0.65,1.92,0.01395,96281.055
"2019-06-18 18:00:00",1,304.2,381,745,2.3e-05,44.2,1.17,1.8199999,0.01313,96032.945
"2019-06-19 00:00:00",1,299.1,402,527,3.6e-05,72.700005,0.94,1.41,0.01598,95903.805
"2019-06-19 06:00:00",1,292.6,372,3,4.2e-05,91.200005,0.22,1.9399999,0.013429999,95864.64
"2019-06-19 12:00:00",1,294.4,356,40,3e-05,84.4,-0.17999999,0.96999997,0.013929999,95810.45
"2019-06-19 18:00:00",1,301.80002,378,752,7.6e-05,55.2,3.84,0.82,0.014289999,95535.24
"2019-06-20 00:00:00",1,295.9,402,394,7.4e-05,80.8,0.58,3.8899999,0.01468,95578.08
"2019-06-20 06:00:00",1,293.9,372,2,0,82.3,-1.48,3.75,0.013169999,95698.055
"2019-06-20 12:00:00",1,294,347,41,0,81.9,-1.31,2.84,0.013169999,95960.74
"2019-06-20 18:00:00",1,303,368,747,1e-05,46.7,-0.85999995,2.6599998,0.0128999995,95994.43
"2019-06-21 00:00:00",1,298.7,408,439,3.5e-05,72.8,-0.38,1.9699999,0.01559,96119.055
"2019-06-21 06:00:00",1,292.6,375,3,1.4e-05,93.9,-0.71999997,1.73,0.013839999,96214.21
"2019-06-21 12:00:00",1,294.5,364,36,0,87.4,-0.19,1.55,0.014359999,96494.14
"2019-06-21 18:00:00",1,302.1,390,728,7.4999996e-05,64.700005,-0.71,4.22,0.01685,96610.375
"2019-06-22 00:00:00",1,299.7,407,510,7e-06,73.200005,-0.089999996,1.67,0.01651,96507.12
"2019-06-22 06:00:00",1,294.1,379,3,0,91.6,-0.77,1.6999999,0.01473,96719.06
"2019-06-22 12:00:00",1,296.1,378,30,0,86.3,-0.16,1.3199999,0.01565,96691.93
"2019-06-22 18:00:00",1,302,402,671,6.9e-05,74.200005,0.28,3,0.01922,96632.055
"2019-06-23 00:00:00",1,299,405,545,9.1e-05,81.8,0.11,1.68,0.01771,96549.6
"2019-06-23 06:00:00",1,293.4,377,3,7e-06,93,-0.61,1.5,0.01438,96459.87
"2019-06-23 12:00:00",1,293.9,364,34,9.8e-05,93.9,-0.34,1.51,0.01493,96489.89
"2019-06-23 18:00:00",1,302.7,392,619,3e-06,47,0.089999996,3.77,0.01267,96469.43
