"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2019-09-11 12:00:00",1,293.6,9.999e+20,9.999e+20,9.999e+20,95.3,0.38,1.27,0.01478,97241.11,9.999e+20
"2019-09-11 18:00:00",1,309.5,385,618,0,35.9,-0.19,0.42999998,0.01423,96958.24,0
"2019-09-12 00:00:00",1,299.6,425,352,1.4e-05,53.7,-0.41,1.89,0.012069999,96803.016,45
"2019-09-12 06:00:00",1,293.5,385,0,0.000159,90.9,-1.31,1.4499999,0.01401,96831.445,31
"2019-09-12 12:00:00",1,293.9,371,9,0,92.5,-1.25,1.64,0.01461,96856.83,17
"2019-09-12 18:00:00",1,305.80002,392,607,5.4e-05,47.8,-1.4399999,0.44,0.015369999,96729.64,18
"2019-09-13 00:00:00",1,297.30002,413,361,9.9e-05,69.9,-0.71,1.5999999,0.013669999,96698.98,49
"2019-09-13 06:00:00",1,292.7,379,0,0.000183,93.700005,-1.49,1.4499999,0.013809999,96826.89,7
"2019-09-13 12:00:00",1,292.5,362,9,0,93.3,-1.9,-0.12,0.01353,96987.77,1
"2019-09-13 18:00:00",1,297.30002,389,445,3e-05,82.5,-0.79999995,-3.82,0.01604,97146.85,34
"2019-09-14 00:00:00",1,292.7,414,76,9.2e-05,97.9,-0.79999995,-2.3999999,0.01432,97270.28,93
"2019-09-14 06:00:00",1,291.5,404,0,6.2e-05,98.5,0.06,-1.93,0.01334,97325.586,98
"2019-09-14 12:00:00",1,291.1,402,2,4.5e-05,98.700005,0.07,-1.35,0.01304,97382.445,97
"2019-09-14 18:00:00",1,296.2,403,211,1.9e-05,75.700005,0.049999997,-0.04,0.01375,97329.055,85
"2019-09-15 00:00:00",1,292.80002,393,316,1e-06,92.6,-0.089999996,-1.29,0.01368,97163.74,53
"2019-09-15 06:00:00",1,289.2,364,0,0,95.700005,0.90999997,-0.19999999,0.01122,97206.14,59
"2019-09-15 12:00:00",1,291.9,351,8,0,96.9,-0.68,-0.07,0.01352,97269.27,28
"2019-09-15 18:00:00",1,302.4,377,579,0,47.5,1.28,-2.49,0.01253,97120.1,54
"2019-09-16 00:00:00",1,295.30002,389,380,1e-06,77,1.4699999,-1.3199999,0.0133,97069.4,60
"2019-09-16 06:00:00",1,292,371,0,1e-06,97.3,0.76,0.71999997,0.01363,97098.27,58
"2019-09-16 12:00:00",1,292.7,382,7,2e-06,96.4,-0.65999997,0.45,0.014149999,97140.38,86
"2019-09-16 18:00:00",1,304.4,386,562,1e-06,45.5,1.1,-0.47,0.01349,96986.125,67
"2019-09-17 00:00:00",1,295.5,392,365,1.4e-05,87.9,1.99,0.53999996,0.015369999,96910.77,66
"2019-09-17 06:00:00",1,292.30002,365,0,0,98,-0.03,1.77,0.01406,96876.19,61
